"trainer/global_step","custom-generated - _step","custom-generated - _step__MIN","custom-generated - _step__MAX","custom-generated - val/total/instance_detection_f1_score","custom-generated - val/total/instance_detection_f1_score__MIN","custom-generated - val/total/instance_detection_f1_score__MAX"
"10","24","24","24","0","0","0"
"21","49","49","49","0","0","0"
"32","74","74","74","0","0","0"
"43","99","99","99","0.14000000059604645","0.14000000059604645","0.14000000059604645"
"54","124","124","124","0.21164020895957947","0.21164020895957947","0.21164020895957947"
"65","149","149","149","0.17073170840740204","0.17073170840740204","0.17073170840740204"
"76","174","174","174","0.09137056022882462","0.09137056022882462","0.09137056022882462"
"87","199","199","199","0.03669724613428116","0.03669724613428116","0.03669724613428116"
"98","224","224","224","0.05384615436196327","0.05384615436196327","0.05384615436196327"
"109","249","249","249","0.036036036908626556","0.036036036908626556","0.036036036908626556"
"120","274","274","274","0.1340206116437912","0.1340206116437912","0.1340206116437912"
"131","299","299","299","0.04065040498971939","0.04065040498971939","0.04065040498971939"
"142","324","324","324","0.0446428582072258","0.0446428582072258","0.0446428582072258"
"153","349","349","349","0.0555555559694767","0.0555555559694767","0.0555555559694767"
"164","374","374","374","0.11363636702299118","0.11363636702299118","0.11363636702299118"
"175","399","399","399","0.0476190485060215","0.0476190485060215","0.0476190485060215"
"186","424","424","424","0.08484848588705063","0.08484848588705063","0.08484848588705063"
"197","449","449","449","0.10843373835086823","0.10843373835086823","0.10843373835086823"
"208","474","474","474","0.20512820780277252","0.20512820780277252","0.20512820780277252"
"219","499","499","499","0.03614457696676254","0.03614457696676254","0.03614457696676254"
"230","524","524","524","0.12162162363529205","0.12162162363529205","0.12162162363529205"
"241","549","549","549","0.06622516363859177","0.06622516363859177","0.06622516363859177"
"252","574","574","574","0.02631578966975212","0.02631578966975212","0.02631578966975212"
"263","599","599","599","0.08438818901777267","0.08438818901777267","0.08438818901777267"
"274","624","624","624","0.125","0.125","0.125"
"285","649","649","649","0.12121212482452393","0.12121212482452393","0.12121212482452393"
"296","674","674","674","0.09937888383865356","0.09937888383865356","0.09937888383865356"
"307","699","699","699","0.080924853682518","0.080924853682518","0.080924853682518"
"318","724","724","724","0.11881188303232193","0.11881188303232193","0.11881188303232193"
"329","749","749","749","0.06451612710952759","0.06451612710952759","0.06451612710952759"
"340","774","774","774","0.1538461595773697","0.1538461595773697","0.1538461595773697"
"351","799","799","799","0.13235294818878174","0.13235294818878174","0.13235294818878174"
"362","824","824","824","0.22972972691059113","0.22972972691059113","0.22972972691059113"
"373","849","849","849","0.09655172377824783","0.09655172377824783","0.09655172377824783"
"384","874","874","874","0.20000000298023224","0.20000000298023224","0.20000000298023224"
"395","899","899","899","0.19875776767730713","0.19875776767730713","0.19875776767730713"
"406","924","924","924","0.1705426424741745","0.1705426424741745","0.1705426424741745"
"417","949","949","949","0.19631901383399963","0.19631901383399963","0.19631901383399963"
"428","974","974","974","0.09944751113653183","0.09944751113653183","0.09944751113653183"
"439","999","999","999","0.17177914083003998","0.17177914083003998","0.17177914083003998"
"450","1024","1024","1024","0.14723926782608032","0.14723926782608032","0.14723926782608032"
"461","1049","1049","1049","0.12154696136713028","0.12154696136713028","0.12154696136713028"
"472","1074","1074","1074","0.2195121943950653","0.2195121943950653","0.2195121943950653"
"483","1099","1099","1099","0.20118343830108643","0.20118343830108643","0.20118343830108643"
"494","1124","1124","1124","0.23456789553165436","0.23456789553165436","0.23456789553165436"
"505","1149","1149","1149","0.16304348409175873","0.16304348409175873","0.16304348409175873"
"516","1174","1174","1174","0.1473684161901474","0.1473684161901474","0.1473684161901474"
"527","1199","1199","1199","0.23391813039779663","0.23391813039779663","0.23391813039779663"
"538","1224","1224","1224","0.2738095223903656","0.2738095223903656","0.2738095223903656"
"549","1249","1249","1249","0.2312925159931183","0.2312925159931183","0.2312925159931183"
"560","1274","1274","1274","0.14000000059604645","0.14000000059604645","0.14000000059604645"
"571","1299","1299","1299","0.18390804529190063","0.18390804529190063","0.18390804529190063"
"582","1324","1324","1324","0.17391304671764374","0.17391304671764374","0.17391304671764374"
"593","1349","1349","1349","0.19387754797935486","0.19387754797935486","0.19387754797935486"
"604","1374","1374","1374","0.14689265191555023","0.14689265191555023","0.14689265191555023"
"615","1399","1399","1399","0.20606060326099396","0.20606060326099396","0.20606060326099396"
"626","1424","1424","1424","0.21714285016059875","0.21714285016059875","0.21714285016059875"
"637","1449","1449","1449","0.17391304671764374","0.17391304671764374","0.17391304671764374"
"648","1474","1474","1474","0.25","0.25","0.25"
"659","1499","1499","1499","0.2261904776096344","0.2261904776096344","0.2261904776096344"
"670","1524","1524","1524","0.2514970004558563","0.2514970004558563","0.2514970004558563"
"681","1549","1549","1549","0.2235294133424759","0.2235294133424759","0.2235294133424759"
"692","1574","1574","1574","0.2133333384990692","0.2133333384990692","0.2133333384990692"
"703","1599","1599","1599","0.23899370431900024","0.23899370431900024","0.23899370431900024"
"714","1624","1624","1624","0.1530054658651352","0.1530054658651352","0.1530054658651352"
"725","1649","1649","1649","0.25","0.25","0.25"
"736","1674","1674","1674","0.3076923191547394","0.3076923191547394","0.3076923191547394"
"747","1699","1699","1699","0.3274853825569153","0.3274853825569153","0.3274853825569153"
"758","1724","1724","1724","0.3270440399646759","0.3270440399646759","0.3270440399646759"
"769","1749","1749","1749","0.35151514410972595","0.35151514410972595","0.35151514410972595"
"780","1774","1774","1774","0.353658527135849","0.353658527135849","0.353658527135849"
"791","1799","1799","1799","0.28387096524238586","0.28387096524238586","0.28387096524238586"
"802","1824","1824","1824","0.3466666638851166","0.3466666638851166","0.3466666638851166"
"813","1849","1849","1849","0.3086419701576233","0.3086419701576233","0.3086419701576233"
"824","1874","1874","1874","0.3896103799343109","0.3896103799343109","0.3896103799343109"
"835","1899","1899","1899","0.353658527135849","0.353658527135849","0.353658527135849"
"846","1924","1924","1924","0.3040935695171356","0.3040935695171356","0.3040935695171356"
"857","1949","1949","1949","0.3866666555404663","0.3866666555404663","0.3866666555404663"
"868","1974","1974","1974","0.31111112236976624","0.31111112236976624","0.31111112236976624"
"879","1999","1999","1999","0.3354037404060364","0.3354037404060364","0.3354037404060364"
"890","2024","2024","2024","0.3137255012989044","0.3137255012989044","0.3137255012989044"
"901","2049","2049","2049","0.3333333432674408","0.3333333432674408","0.3333333432674408"
"912","2074","2074","2074","0.36477985978126526","0.36477985978126526","0.36477985978126526"
"923","2099","2099","2099","0.2978723347187042","0.2978723347187042","0.2978723347187042"
"934","2124","2124","2124","0.364705890417099","0.364705890417099","0.364705890417099"
"945","2149","2149","2149","0.36942675709724426","0.36942675709724426","0.36942675709724426"
"956","2174","2174","2174","0.31137725710868835","0.31137725710868835","0.31137725710868835"
"967","2199","2199","2199","0.42307692766189575","0.42307692766189575","0.42307692766189575"
"978","2224","2224","2224","0.4000000059604645","0.4000000059604645","0.4000000059604645"
"989","2249","2249","2249","0.3726707994937897","0.3726707994937897","0.3726707994937897"
"1000","2274","2274","2274","0.29487180709838867","0.29487180709838867","0.29487180709838867"
"1011","2299","2299","2299","0.3602484464645386","0.3602484464645386","0.3602484464645386"
"1022","2324","2324","2324","0.3417721390724182","0.3417721390724182","0.3417721390724182"
"1033","2349","2349","2349","0.2933333218097687","0.2933333218097687","0.2933333218097687"
"1044","2374","2374","2374","0.3333333432674408","0.3333333432674408","0.3333333432674408"
"1055","2399","2399","2399","0.4025973975658417","0.4025973975658417","0.4025973975658417"
"1066","2424","2424","2424","0.4161073863506317","0.4161073863506317","0.4161073863506317"
"1077","2449","2449","2449","0.32679739594459534","0.32679739594459534","0.32679739594459534"
"1088","2474","2474","2474","0.34899330139160156","0.34899330139160156","0.34899330139160156"
"1099","2499","2499","2499","0.34210526943206787","0.34210526943206787","0.34210526943206787"
